GENE_NAMES	UNIPROT_ID	IN_CANCER_GENE_LISTS	MAPPED_UNIPROT_ID	PDBID-CHAIN	PDB_FRAGMENT	UNIPROT_SEQ_LENGTH	MAP_START	MAP_END	PERCENT_IDENTITY	NSITES	NSAMPLES	CLUMPS_P	CLUMPS_Q_FULL	CLUMPS_Q_RESTRICTED	NOTES
ATM	Q13315	"C,S,M"	Q13315	5np1-A	NA	3056	3	3056	100	388	403	0	0	0	exact p-value will be calculated (but will be very small)
BRAF	P15056	"C,S,M"	P15056	3d4q-B	NA	766	448	723	100	61	801	0	0	0	exact p-value will be calculated (but will be very small)
MTOR	P42345	"C,S,M"	P42345	5h64-A	NA	2549	210	2549	100	300	367	0	0	0	exact p-value will be calculated (but will be very small)
PIK3CA	P42336	"C,S,M"	P42336	5fi4-A	NA	1068	2	1062	100	211	1625	0	0	0	exact p-value will be calculated (but will be very small)
PPP2R1A	P30153	"C,S,M"	P30153	1b3u-B	NA	589	2	589	100	122	218	0	0	0	exact p-value will be calculated (but will be very small)
PTEN	P60484	"C,S,M"	P60484	5bug-A	NA	403	14	351	100	154	479	0	0	0	exact p-value will be calculated (but will be very small)
PTPN11	Q06124	"C,S,M"	Q06124	4h34-A	NA	597	4	541	100	85	143	0	0	0	exact p-value will be calculated (but will be very small)
SF3B1	O75533	"C,S,M"	O75533	5ife-C	NA	1304	463	1304	100	151	402	0	0	0	exact p-value will be calculated (but will be very small)
SMARCA4	P51532	"C,S,M"	P22082	5x0y-O	NA	1647	732	1369	55.8	147	274	0	0	0	exact p-value will be calculated (but will be very small)
SPOP	O43791	"C,S,M"	O43791	3hqi-A	NA	374	28	329	100	68	184	0	0	0	exact p-value will be calculated (but will be very small)
TP53	P04637	"C,S,M"	P04637	3q01-B	NA	393	94	356	100	154	3400	0	0	0	exact p-value will be calculated (but will be very small)
CDKN2A	P42771	"C,S,M"	P42771	1a5e-A	NA	156	1	156	100	70	202	9.97E-08	0.000156035	8.85E-06	
FBXW7	Q969H0	"C,S,M"	Q969H0	2ovr-B	NA	707	263	706	100	102	348	9.98E-08	0.000156035	8.85E-06	
SMAD4	Q13485	"C,S,M"	Q13485	1dd1-C	NA	552	285	552	100	73	206	2.00E-07	0.000289548	1.64E-05	
CREBBP	Q92793	"C,S,M"	Q09472	4pzt-A	NA	2442	1323	1701	87.9	90	147	5.99E-07	0.000811382	4.60E-05	
MAP2K1	Q02750	"C,S,M"	Q02750	3w8q-A	NA	393	39	382	100	53	115	1.19E-06	0.00151544	8.59E-05	
EP300	Q09472	"C,S,M"	Q09472	4bhw-B	NA	2414	1046	1664	100	107	160	1.40E-06	0.00167083	9.47E-05	
RHOA	P61586	"C,S,M"	P61586	6bc0-F	NA	193	3	181	100	53	120	2.15E-06	0.00242407	0.000137448	
ZNF658	Q5TYW1		D9IWL3	5v3g-A	NA	1059	515	681	60.5	10	15	4.47E-06	0.00478099	-1	
RAP1GAP2	Q684P5		P47736	3brw-B	NA	730	145	481	66.8	47	53	5.07E-06	0.00515515	-1	
DICER1	Q9UPY3	"C,S"	Q9UPY3	2eb1-B	NA	1922	1660	1849	100	32	59	5.56E-06	0.00537636	0.000336936	
KRAS	P01116	"C,S,M"	P01116	5usj-C	NA	189	1	167	100	41	1206	6.83E-06	0.0063075	0.000393408	
CSNK2A1	P68400		P68400	3amy-A	NA	391	2	328	100	68	74	8.81E-06	0.0077828	-1	
EPPK1	P58107		P15924	5dzz-A	NA	5088	1927	2419	42.3	122	158	1.38E-05	0.0112027	-1	
SNED1	Q8TER0		P02751	1fnf-A	NA	1413	906	1184	26.7	31	32	1.35E-05	0.0112027	-1	
POTEG	Q6S5H5		E0A9E1	5vkq-C	NA	508	111	364	22.4	47	110	1.61E-05	0.0126075	-1	likely false positive
HRAS	P01112	"C,S,M"	P01112	5wdq-A	NA	189	1	166	100	26	146	1.77E-05	0.0132853	0.000968523	
SPINK2	P20155		P20155	2jxd-A	NA	84	23	84	100	10	11	3.69E-05	0.0267718	-1	
PIK3R1	P27986	"C,S,M"	P27986	5sxc-B	NA	724	328	597	100	47	88	6.01E-05	0.0407038	0.00314721	
PRDM13	Q9H4Q3		D9IWL3	5v3g-A	NA	707	573	686	32.3	28	30	5.81E-05	0.0407038	-1	
PRDM2	Q13029		Q07120	2kmk-A	NA	1718	360	412	39.6	11	13	6.41E-05	0.0419821	-1	
CNOT9	Q92600		Q92600	4cru-B	NA	299	19	285	100	38	55	7.59E-05	0.0482207	-1	
PLEKHA8P1	O95397		Q96JA3	5kdi-A	NA	391	193	391	96.5	36	41	9.21E-05	0.0567061	-1	
VEGFB	P49765		P49765	2vwe-B	NA	207	32	129	100	12	14	9.75E-05	0.0582426	-1	
ERCC2	P18074	"S,M"	P18074	5of4-B	NA	760	11	734	100	112	141	0.000120465	0.0699284	0.00601043	
BAP1	Q92560	"C,S,M"	Q9Y5K5	4uel-A	NA	729	5	249	43.6	63	89	0.000130435	0.0716228	0.00601043	
VHL	P40337	"C,S,M"	P40337	1lqb-C	NA	213	61	210	100	50	117	0.000127193	0.0716228	0.00601043	
CASP8	Q14790	"C,S,M"	Q14790	5l08-F	NA	479	2	182	100	60	83	0.000175182	0.0847424	0.00695897	
CBL	P22681	"C,S"	P22681	2y1m-E	NA	906	47	435	100	64	76	0.000168889	0.0847424	0.00695897	
KMT2C	Q8NEZ4	"C,S,M"	Q8NEZ4	2ysm-A	NA	4911	342	439	100	46	96	0.00017341	0.0847424	0.00695897	
PCDHA9	Q9Y5H5		Q91Y13	5dzv-B	NA	950	30	557	84.7	112	161	0.000171598	0.0847424	-1	
STK11	Q15831	"C,S,M"	Q15831	2wtk-C	NA	433	47	342	100	49	64	0.000171659	0.0847424	0.00695897	
EGFR	P00533	"C,S,M"	P00533	2jiu-B	NA	1210	695	1004	100	74	126	0.000182186	0.0860809	0.00699595	
EGFR	P00533	"C,S,M"	P00533	1nql-A	NA	1210	27	638	100	161	267	0.000194115	0.0888758	0.00708661	
SETD2	Q9BYW2	"C,S,M"	Q9BYW2	5jjy-A	NA	2564	1447	1703	100	60	91	0.00019685	0.0888758	0.00708661	
TDRD1	Q9BXT4		P25823	4q5y-A	NA	1180	715	1129	22.9	63	76	0.000202773	0.0895595	-1	
TTC24	A2A3L6		Q9VB22	5a7d-B	NA	582	62	419	24.8	29	32	0.000233133	0.100778	-1	
HS3ST3B1	Q9Y662		Q9Y663	1t8u-B	NA	390	124	390	96.6	32	34	0.000250639	0.105691	-1	
ZNF480	Q8WV37		D9IWL3	5v3g-A	NA	535	312	478	58.7	30	38	0.000254902	0.105691	-1	
MAPK1	P28482	S	P28482	4o6e-A	NA	360	13	357	100	40	70	0.000272727	0.11082	0.00952066	
ASB5	Q8WWX0		Q96DX5	3zkj-D	NA	329	70	326	53.3	77	103	0.000297619	0.118563	-1	
RNF148	Q8N7C7		Q8TEB7	3icu-A	NA	305	35	188	50.9	35	45	0.000327869	0.128102	-1	
CHD4	Q14839	"S,M"	P22082	5x0y-O	NA	1912	713	1335	37.8	121	195	0.000352022	0.130937	0.0117551	
GPR98	Q8WXG9		P23685	3us9-A	NA	6306	4267	4479	28.8	40	48	0.000367347	0.130937	-1	
LTBP1	Q14766		P35555	1emn-A	NA	1721	1415	1466	22.9	16	17	0.000362637	0.130937	-1	
PAX9	P55771		Q02548	1mdm-A	NA	341	7	130	74.2	23	24	0.000367347	0.130937	-1	
TGFBR2	P37173	"S,M"	P37173	5e8y-A	NA	567	240	541	100	73	116	0.000357143	0.130937	0.0117551	
DDX3X	O00571	"S,M"	O00571	4pxa-A	NA	662	135	576	100	104	155	0.000389401	0.136404	0.0124608	
PEX5L	Q8IYB4		Q8C437	4eqf-A	NA	626	314	625	99	54	66	0.000446154	0.153636	-1	
